uid,bloco,fontes,citado_por_ambas,ref_ids,status,duplicata_de,inspire_id,autor_ref,primeiro_autor,n_autores,ano_ref,ano_inspire,data_inspire,arxiv,doi,journal,titulo,citacoes,citacoes_sem_auto,idade_anos,citacoes_por_ano,tipo_doc,raw
U0219,B11,AGOSTINI,NAO,A098,OK,,1444346,Arnold,Arnold,"et al. (N/D, NEMO-3)",2016,2016,2016-04-06,1604.01710,,"Phys.Rev.D,93,112008",Measurement of the double-beta decay half-life and search for the neutrinoless double-beta decay of 48Ca with the NEMO-3 detector,129,98,10,12.9,article,"Arnold, R, et al. (NEMO-3) (2016b), “Measurement of the double-beta decay half-life and search for the neutrinoless double-beta decay of 48 Ca with the NEMO-3 detector,” Phys. Rev. D93 (11), 112008, arXiv:1604.01710 [hep-ex]."
U0220,B11,AGOSTINI;GONZALEZ-GARCIA,SIM,A159;G064,OK,,1413713,Bergstrom,Bergstrom,6,2016,2016,2016-01-05,1601.00972,,"JHEP,03,132",Updated determination of the solar neutrino fluxes from solar neutrino data,114,91,10,11.4,article,"Bergstrom, J, M. C. Gonzalez-Garcia, M. Maltoni, C. Pena- Garay, A. M. Serenelli, and N. Song (2016), “Updated determination of the solar neutrino fluxes from solar neutrino data,” JHEP 03, 132, arXiv:1601.00972 [hep-ph]."
U0221,B12,AGOSTINI,NAO,A262,OK,,1417121,Dell’Oro,"Dell'Oro, S.",4,2016,2016,2016-01-27,1601.07512,,"Adv.High Energy Phys.,2016,2162659",Neutrinoless double beta decay: 2015 review,508,473,10,50.8,article,"Dell’Oro, S, S. Marcocci, M. Viel, and F. Vissani (2016), “Neutrinoless double beta decay: 2015 review,” Adv. High Energy Phys. 2016, 2162659, arXiv:1601.07512 [hep-ph]."
U0222,B12,AGOSTINI,NAO,A282,OK,,1471258,Drewes,"Drewes, Marco",2,2016,2016,2016-06-20,1606.06221,,"Phys.Lett.B,763,72-79",Neutrinoless double β decay and low scale leptogenesis,72,43,10,7.2,article,"Drewes, Marco, and Shintaro Eijima (2016), “Neutrinoless double β decay and low scale leptogenesis,” Phys. Lett. B 763, 72-79, arXiv:1606.06221 [hep-ph]."
U0223,B12,AGOSTINI,NAO,A289,OK,,1393331,Ebert,"Ebert, J.",,2016,2016,2015-09-14,1509.04113,,"Phys.Rev.C,94,024603",Results of a search for neutrinoless double-β decay using the COBRA demonstrator,52,37,10,5.2,article,"Ebert, J, et al. (2016a), “Results of a search for neutrinoless double- β decay using the COBRA demonstrator,” Phys. Rev. C 94 (2), 024603, arXiv:1509.04113 [nucl-ex]."
U0224,B12,AGOSTINI,NAO,A290,OK,,1385638,Ebert,"Ebert, J.",,2016,2016,2015-07-29,1507.08177,,"Nucl.Instrum.Meth.A,807,114-120",The COBRA demonstrator at the LNGS underground laboratory,29,13,10,2.9,article,"Ebert, J, et al. (COBRA) (2016b), “The COBRA demonstrator at the LNGS underground laboratory,” Nucl. Instrum. Meth. A 807, 114-120, arXiv:1507.08177 [physics.ins-det]."
U0225,B12,GONZALEZ-GARCIA,NAO,G141,OK,,1388361,F. P. An et al. (Daya Bay),"An, F. P.",,2016,2016,2015-08-18,1508.04233,,"Phys.Rev.Lett.,116,061801",Measurement of the Reactor Antineutrino Flux and Spectrum at Daya Bay,328,217,10,32.8,article,"F. P. An et al. (Daya Bay), Phys. Rev. Lett. 116, 6, 061801 (2016), [Erratum: Phys. Rev. Lett.118,no.9,099902(2017)], [arXiv:1508.04233]."
U0226,B12,AGOSTINI,NAO,A342,OK,,1416651,Freund,"Freund, K.",,2016,2016,2016-01-22,1601.05935,,"Eur.Phys.J.C,76,298",The Performance of the Muon Veto of the GERDA Experiment,43,27,10,4.3,article,"Freund, K, et al. (2016), “The Performance of the Muon Veto of the GERDA Experiment,” Eur. Phys. J. C 76 (5), 298, arXiv:1601.05935 [physics.ins-det]."
U0227,B12,GONZALEZ-GARCIA,NAO,G222,OK,,1473337,G. H. Collin et al.,"Collin, G. H.",,2016,2016,2016-06-30,1607.00011,,"Phys.Rev.Lett.,117,221801",First Constraints on the Complete Neutrino Mixing Matrix with a Sterile Neutrino,101,80,10,10.1,article,"G. H. Collin et al., Phys. Rev. Lett. 117, 22, 221801 (2016), [arXiv:1607.00011]."
U0228,B12,AGOSTINI,NAO,A353,OK,,1456929,Gando,"Gando, A.",,2016,2016,2016-05-10,1605.02889,,"Phys.Rev.Lett.,117,082503",Search for Majorana Neutrinos near the Inverted Mass Hierarchy Region with KamLAND-Zen,1336,1225,10,133.6,article,"Gando, A, et al. (KamLAND-Zen) (2016), “Search for Majorana Neutrinos near the Inverted Mass Hierarchy Region with KamLAND-Zen,” Phys. Rev. Lett. 117 (8), 082503, [Addendum: Phys.Rev.Lett. 117, 109903 (2016)], arXiv:1605.02889 [hep-ex]."
