uid,bloco,metodo,fontes,ref_ids,autor,ano,arxiv,doi,journal,titulo,raw
U0829,B42,titulo,AGOSTINI,A339,Freer,2018,,,,Microscopic Clustering in Light Nuclei,"Freer, M, H. Horiuchi, Y. Kanada-En’yo, D. Lee, and U.-G. Meißner (2018), “Microscopic Clustering in Light Nuclei,” Rev. Mod. Phys. 90, 035004."
U0830,B42,titulo,AGOSTINI,A340,Frekers,2018,,,,Charge-exchange reactions and the quest for resolution,"Frekers, D, and M. Alanssari (2018), “Charge-exchange reactions and the quest for resolution,” Eur. Phys. J. A 54, 177."
U0831,B42,titulo,AGOSTINI,A372,Gonokami,2018,,,,Statement from the president of the university of tokyo concerning the start of hyperkamiokande,"Gonokami, M (2018), “Statement from the president of the university of tokyo concerning the start of hyperkamiokande,” https://www.hyperk.org/?p=365, accessed 2021 December."
U0832,B42,titulo,AGOSTINI,A433,Horoi,2018,,,,Shell model study of using an effective field theory for disentangling several contributions to neutrinoless double-β decay,"Horoi, M, and A. Neacsu (2018), “Shell model study of using an effective field theory for disentangling several contributions to neutrinoless double-β decay,” Phys. Rev. C 98, 035502."
U0833,B42,titulo,AGOSTINI,A448,Jiao,2018,,,,"Neutrinoless double-β decay of 124Sn, 130Te, and 136Xe in the Hamiltonian-based generator-coordinate method","Jiao, C F, M. Horoi, and A. Neacsu (2018), “Neutrinoless double-β decay of 124Sn, 130Te, and 136Xe in the Hamiltonian-based generator-coordinate method,” Phys. Rev. C 98, 064324."
U0834,B42,titulo,AGOSTINI,A462,Kishimoto,2018,,,,CANDLES for the study of 48 Ca double beta decay and its future prospect,"Kishimoto, T (CANDLES) (2018), “CANDLES for the study of 48 Ca double beta decay and its future prospect,” DBD18 workshop, Waikoloa HI, US."
U0835,B42,titulo,AGOSTINI,A510,Lonardoni,2018,,,,Properties of nuclei up to A = 16 using local chiral interactions,"Lonardoni, D, J. Carlson, S. Gandolfi, J. E. Lynn, K. E. Schmidt, A. Schwenk, and X. Wang (2018), “Properties of nuclei up to A = 16 using local chiral interactions,” Phys. Rev. Lett. 120, 122502."
U0836,B42,titulo,GONZALEZ-GARCIA,G067,M. Agostini et al. (BOREXINO),2018,,,,,"M. Agostini et al. (BOREXINO), Nature 562, 7728, 505 (2018)."
U0837,B42,titulo,AGOSTINI,A547,Morris,2018,,,,Structure of the lightest tin isotopes,"Morris, T D, J. Simonis, S. R. Stroberg, C. Stumpf, G. Hagen, J. D. Holt, G. R. Jansen, T. Papenbrock, R. Roth, and A. Schwenk (2018), “Structure of the lightest tin isotopes,” Phys. Rev. Lett. 120, 152503."
U0838,B42,titulo,AGOSTINI,A580,Pastore,2018,,,,Quantum Monte Carlo calculations of weak transitions in A = 6-10 nuclei,"Pastore, S, A. Baroni, J. Carlson, S. Gandolfi, S. C. Pieper, R. Schiavilla, and R. B. Wiringa (2018a), “Quantum Monte Carlo calculations of weak transitions in A = 6-10 nuclei,” Phys. Rev. C 97 (2), 022501."
U0839,B42,titulo,AGOSTINI,A581,Pastore,2018,,,,Neutrinoless double-β decay matrix elements in light nuclei,"Pastore, S, J. Carlson, V. Cirigliano, W. Dekens, E. Mereghetti, and R. B. Wiringa (2018b), “Neutrinoless double-β decay matrix elements in light nuclei,” Phys. Rev. C 97, 014606."
U0840,B42,titulo,AGOSTINI,A634,Santopinto,2018,,,,Heavy-ion double-charge-exchange and its relation to neutrinoless double-β decay,"Santopinto, E, H. Garcı́a-Tecocoatzi, R. I. Magaña Vsevolodovna, and J. Ferretti (2018), “Heavy-ion double-charge-exchange and its relation to neutrinoless double-β decay,” Phys. Rev. C 98, 061601."
U0841,B43,titulo,AGOSTINI,A645,Shimizu,2018,,,,Double Gamow-Teller Transitions and its Relation to Neutrinoless ββ Decay,"Shimizu, N, J. Menéndez, and Kentaro Yako (2018), “Double Gamow-Teller Transitions and its Relation to Neutrinoless ββ Decay,” Phys. Rev. Lett. 120, 142502."
U0842,B43,titulo,AGOSTINI,A708,Wang,2018,,,,Quenching of nuclear matrix elements for 0νββ decay by chiral two-body currents,"Wang, L-J, J. Engel, and J. M. Yao (2018), “Quenching of nuclear matrix elements for 0νββ decay by chiral two-body currents,” Phys. Rev. C 98 (3), 031301."
U0843,B43,titulo,AGOSTINI,A730,Yao,2018,,,,Generator-coordinate reference states for spectra and 0νββ decay in the in-medium similarity renormalization group,"Yao, J M, J. Engel, L. J. Wang, C. F. Jiao, and H. Hergert (2018), “Generator-coordinate reference states for spectra and 0νββ decay in the in-medium similarity renormalization group,” Phys. Rev. C 98, 054311."
U0844,B43,titulo,AGOSTINI,A735,Yoshida,2018,,,,Uncertainty quantification in the nuclear shell model,"Yoshida, S, N. Shimizu, T. Togashi, and T. Otsuka (2018a), “Uncertainty quantification in the nuclear shell model,” Phys. Rev. C 98, 061301."
U0845,B43,titulo,AGOSTINI,A736,Yoshida,2018,,,,Systematic shell-model study of β-decay properties and Gamow-Teller strength distributions in A∼40 neutron-rich nuclei,"Yoshida, S, Y. Utsuno, N. Shimizu, and T. Otsuka (2018b), “Systematic shell-model study of β-decay properties and Gamow-Teller strength distributions in A∼40 neutron-rich nuclei,” Phys. Rev. C 97, 054321."
U0846,B43,titulo,AGOSTINI,A737,Yoshinaga,2018,,,,Structure of nuclei with masses 76 and 82 and nuclear matrix elements of neutrinoless double beta decay,"Yoshinaga, N, K. Yanase, K. Higashiyama, E. Teruya, and D. Taguchi (2018), “Structure of nuclei with masses 76 and 82 and nuclear matrix elements of neutrinoless double beta decay,” Prog. Theor. Exp. Phys. 2018, 023D02."
U0847,B43,titulo,AGOSTINI,A079,Aprile,2019,,,,Observation of two-neutrino double electron capture in 124 Xe with XENON1T,"Aprile, E, et al. (XENON) (2019), “Observation of two-neutrino double electron capture in 124 Xe with XENON1T,” Nature 568, 532-535."
U0848,B43,titulo,AGOSTINI,A099,Arnold,2019,,,,Detailed studies of Mo two-neutrino double beta decay in NEMO-3,"Arnold, R, et al. (NEMO-3) (2019), “Detailed studies of Mo two-neutrino double beta decay in NEMO-3,” Eur. Phys. J. C 79, 440."
U0849,B43,titulo,AGOSTINI,A114,Ayangeakaa,2019,,,,Evidence for Rigid Triaxial Deformation in 76 Ge from a Model-Independent Analysis,"Ayangeakaa, A D, et al. (2019), “Evidence for Rigid Triaxial Deformation in 76 Ge from a Model-Independent Analysis,” Phys. Rev. Lett. 123, 102501, 1909.03270."
U0850,B43,titulo,AGOSTINI,A188,Brofferio,2019,,,,Neutrinoless Double Beta Decay Experiments With TeO2 Low-Temperature Detectors,"Brofferio, Chiara, Oliviero Cremonesi, and Stefano Dell’Oro (2019), “Neutrinoless Double Beta Decay Experiments With TeO2 Low-Temperature Detectors,” Front. in Phys. 7, 86."
U0851,B43,titulo,AGOSTINI,A221,Cirigliano,2019,,,,A renormalized approach to neutrinoless double-beta decay,"Cirigliano, V, W. Dekens, J. De Vries, M. L. Graesser, E. Mereghetti, S. Pastore, M. Piarulli, U. Van Kolck, and R. B. Wiringa (2019), “A renormalized approach to neutrinoless double-beta decay,” Phys. Rev. C 100, 055504."
U0852,B43,titulo,AGOSTINI,A235,Coraggio,2019,,,,Renormalization of the Gamow- Teller operator within the realistic shell model,"Coraggio, L, L. De Angelis, T. Fukui, A. Gargano, N. Itaco, and F. Nowacki (2019), “Renormalization of the Gamow- Teller operator within the realistic shell model,” Phys. Rev. C 100, 014316."
U0853,B43,titulo,AGOSTINI,A295,Ejiri,2019,,,,"Neutrino-nuclear responses for astro-neutrinos, single beta decays and double beta decays","Ejiri, H, J. Suhonen, and K. Zuber (2019), “Neutrino-nuclear responses for astro-neutrinos, single beta decays and double beta decays,” Phys. Rept. 797, 1-102."
U0854,B43,titulo,AGOSTINI,A354,Gando,2019,,,,Precision measurement of the 136 Xe two-neutrino ββ spectrum in KamLAND-Zen and its impact on the quenching of nuclear matrix elements,"Gando, A, et al. (KamLAND-Zen) (2019), “Precision measurement of the 136 Xe two-neutrino ββ spectrum in KamLAND-Zen and its impact on the quenching of nuclear matrix elements,” Phys. Rev. Lett. 122, 192501."
U0855,B43,titulo,AGOSTINI,A393,Gysbers,2019,,,,Discrepancy between experimental and theoretical β-decay rates resolved from first principles,"Gysbers, P, et al. (2019), “Discrepancy between experimental and theoretical β-decay rates resolved from first principles,” Nature Phys. 15, 428-431."
U0856,B43,titulo,AGOSTINI,A416,Henderson,2019,,,,Triaxiality in selenium-76,"Henderson, J, et al. (2019), “Triaxiality in selenium-76,” Phys. Rev. C 99, 054313."
U0857,B43,titulo,AGOSTINI,A425,Hoferichter,2019,,,,Nuclear structure factors for general spinindependent WIMP-nucleus scattering,"Hoferichter, M, Philipp Klos, J. Menéndez, and A. Schwenk (2019), “Nuclear structure factors for general spinindependent WIMP-nucleus scattering,” Phys. Rev. D 99, 055031."
U0858,B43,titulo,AGOSTINI,A437,Ichikawa,2019,,,,Interplay between nuclear shell evolution and shape deformation revealed by the magnetic moment of 75 Cu,"Ichikawa, Y, et al. (2019), “Interplay between nuclear shell evolution and shape deformation revealed by the magnetic moment of 75 Cu,” Nature Phys. 15, 321-325."
