ref_id,fonte,autor,ano,arxiv,doi,journal,titulo,raw
G139,GONZALEZ-GARCIA,T. A. Mueller et al.,2011,1101.2663,,Phys. Rev.|C83|054615,,"T. A. Mueller et al., Phys. Rev. C83, 054615 (2011), [arXiv:1101.2663]."
G140,GONZALEZ-GARCIA,P. Huber,2011,1106.0687,,Phys. Rev.|C84|024617,,"P. Huber, Phys. Rev. C84, 024617 (2011), [Erratum: Phys. Rev.C85,029901(2012)], [arXiv:1106.0687]."
G141,GONZALEZ-GARCIA,F. P. An et al. (Daya Bay),2016,1508.04233,,,,"F. P. An et al. (Daya Bay), Phys. Rev. Lett. 116, 6, 061801 (2016), [Erratum: Phys. Rev. Lett.118,no.9,099902(2017)], [arXiv:1508.04233]."
G142,GONZALEZ-GARCIA,F. P. An et al. (Daya Bay),2017,1704.01082,,,,"F. P. An et al. (Daya Bay), Phys. Rev. Lett. 118, 25, 251801 (2017), [arXiv:1704.01082]."
G143,GONZALEZ-GARCIA,D. Adey et al. (Daya Bay),2019,1808.10836,,,,"D. Adey et al. (Daya Bay), Phys. Rev. D 100, 5, 052004 (2019), [arXiv:1808.10836]."
G144,GONZALEZ-GARCIA,F. P. An et al. (Daya Bay),2025,2501.00746,,,,"F. P. An et al. (Daya Bay), Phys. Rev. Lett. 134, 20, 201802 (2025), [arXiv:2501.00746]."
G145,GONZALEZ-GARCIA,V. Kopeikin,2021,2103.01684,,,,"V. Kopeikin, M. Skorokhvatov and O. Titov, Phys. Rev. D 104, 7, L071301 (2021), [arXiv:2103.01684]."
G146,GONZALEZ-GARCIA,M. Estienne et al.,2019,1904.09358,,,,"M. Estienne et al., Phys. Rev. Lett. 123, 2, 022502 (2019), [arXiv:1904.09358]."
G147,GONZALEZ-GARCIA,L. Hayen et al.,2019,1908.08302,,,,"L. Hayen et al., Phys. Rev. C 100, 5, 054323 (2019), [arXiv:1908.08302]."
G148,GONZALEZ-GARCIA,G. Bak et al. (RENO),2018,1806.00248,,,,"G. Bak et al. (RENO), Phys. Rev. Lett. 121, 20, 201801 (2018), [arXiv:1806.00248]."
G149,GONZALEZ-GARCIA,H. de Kerret et al. (Double Chooz),2020,1901.09445,,,,"H. de Kerret et al. (Double Chooz), Nature Phys. 16, 5, 558 (2020), [arXiv:1901.09445]."
G150,GONZALEZ-GARCIA,Y. J. Ko et al. (NEOS),2017,1610.05134,,,,"Y. J. Ko et al. (NEOS), Phys. Rev. Lett. 118, 12, 121802 (2017), [arXiv:1610.05134]."
G151,GONZALEZ-GARCIA,K. Eguchi et al. (KamLAND),2003,hep-ex/0212021,,Phys. Rev. Lett.|90|021802,,"K. Eguchi et al. (KamLAND), Phys. Rev. Lett. 90, 021802 (2003), [hep-ex/0212021]."
G152,GONZALEZ-GARCIA,T. Araki et al. (KamLAND),2005,hep-ex/0406035,,Phys. Rev. Lett.|94|081801,,"T. Araki et al. (KamLAND), Phys. Rev. Lett. 94, 081801 (2005), [hep-ex/0406035]."
G153,GONZALEZ-GARCIA,A. Gando et al. (KamLAND),2013,1303.4667,,,,"A. Gando et al. (KamLAND), Phys. Rev. D88, 3, 033001 (2013), [arXiv:1303.4667]."
G154,GONZALEZ-GARCIA,Y. Abe et al. (Double Chooz),2012,1112.6353,,Phys. Rev. Lett.|108|131801,,"Y. Abe et al. (Double Chooz), Phys. Rev. Lett. 108, 131801 (2012), [arXiv:1112.6353]."
G155,GONZALEZ-GARCIA,F. P. An et al. (Daya Bay),2012,1203.1669,,Phys. Rev. Lett.|108|171803,,"F. P. An et al. (Daya Bay), Phys. Rev. Lett. 108, 171803 (2012), [arXiv:1203.1669]."
G156,GONZALEZ-GARCIA,J. K. Ahn et al. (RENO),2012,1204.0626,,Phys. Rev. Lett.|108|191802,,"J. K. Ahn et al. (RENO), Phys. Rev. Lett. 108, 191802 (2012), [arXiv:1204.0626]."
G157,GONZALEZ-GARCIA,F. P. An et al. (Daya Bay),2023,2211.14988,,,,"F. P. An et al. (Daya Bay), Phys. Rev. Lett. 130, 16, 161802 (2023), [arXiv:2211.14988]."
G158,GONZALEZ-GARCIA,S. Jeon et al. (RENO),2025,,,,,"S. Jeon et al. (RENO), Phys. Rev. D 111, 11, 112006 (2025)."
G159,GONZALEZ-GARCIA,A. Abusleme et al. (JUNO),2022,2104.02565,,Prog. Part. Nucl. Phys.|123|103927,,"A. Abusleme et al. (JUNO), Prog. Part. Nucl. Phys. 123, 103927 (2022), [arXiv:2104.02565]."
G160,GONZALEZ-GARCIA,A. Abusleme et al. (JUNO),2022,2204.13249,,,,"A. Abusleme et al. (JUNO), Chin. Phys. C 46, 12, 123001 (2022), [arXiv:2204.13249]."
G161,GONZALEZ-GARCIA,Z. Atif et al. (RENO,2022,2011.00896,,,,"Z. Atif et al. (RENO, NEOS), Phys. Rev. D 105, 11, L111101 (2022), [arXiv:2011.00896]."
G162,GONZALEZ-GARCIA,I. Alekseev et al. (DANSS),2018,1804.04046,,Phys. Lett.|B787|56,,"I. Alekseev et al. (DANSS), Phys. Lett. B787, 56 (2018), [arXiv:1804.04046]."
G163,GONZALEZ-GARCIA,H. Almazán et al. (STEREO),2020,1912.06582,,,,"H. Almazán et al. (STEREO), Phys. Rev. D 102, 5, 052002 (2020), [arXiv:1912.06582]."
G164,GONZALEZ-GARCIA,H. Almazán et al. (STEREO),2023,2210.07664,,,,"H. Almazán et al. (STEREO), Nature 613, 7943, 257 (2023), [arXiv:2210.07664]."
G165,GONZALEZ-GARCIA,M. Andriamirado et al. (PROSPECT),2021,2006.11210,,,,"M. Andriamirado et al. (PROSPECT), Phys. Rev. D 103, 3, 032001 (2021), [arXiv:2006.11210]."
G166,GONZALEZ-GARCIA,A. P. Serebrov et al. (NEUTRINO-4),2019,1809.10561,,,,"A. P. Serebrov et al. (NEUTRINO-4), Pisma Zh. Eksp. Teor. Fiz. 109, 4, 209 (2019), [JETP Lett.109,no.4,213(2019)], [arXiv:1809.10561]."
G167,GONZALEZ-GARCIA,A. P. Serebrov et al.,2021,2005.05301,,,,"A. P. Serebrov et al., Phys. Rev. D 104, 3, 032003 (2021), [arXiv:2005.05301]."
G168,GONZALEZ-GARCIA,Y. Abreu et al. (SoLid),2021,2002.05914,,,,"Y. Abreu et al. (SoLid), JINST 16, 02, P02025 (2021), [arXiv:2002.05914]."
G169,GONZALEZ-GARCIA,N. Cabibbo,1978,,,,,"N. Cabibbo, Phys. Lett. 72B, 333 (1978)."
G170,GONZALEZ-GARCIA,S. M. Bilenky,1980,,,,,"S. M. Bilenky, J. Hosek and S. T. Petcov, Phys. Lett. 94B, 495 (1980)."
G171,GONZALEZ-GARCIA,V. D. Barger,1980,,,Phys. Rev. Lett.|45|2084,,"V. D. Barger, K. Whisnant and R. J. N. Phillips, Phys. Rev. Lett. 45, 2084 (1980)."
G172,GONZALEZ-GARCIA,P. Langacker et al.,1987,,,Nucl. Phys.|B282|589,,"P. Langacker et al., Nucl. Phys. B282, 589 (1987)."
G173,GONZALEZ-GARCIA,S. Goswami and A. Yu. Smirnov,2005,hep-ph/0411359,,Phys. Rev.|D72|053011,,"S. Goswami and A. Yu. Smirnov, Phys. Rev. D72, 053011 (2005), [hep-ph/0411359]."
G174,GONZALEZ-GARCIA,N. Okamura,2006,hep-ph/0411388,,Prog. Theor. Phys.|114|1045,,"N. Okamura, Prog. Theor. Phys. 114, 1045 (2006), [hep-ph/0411388]."
G175,GONZALEZ-GARCIA,H. Nunokawa,2005,hep-ph/0503283,,Phys. Rev.|D72|013009,,"H. Nunokawa, S. J. Parke and R. Zukanovich Funchal, Phys. Rev. D72, 013009 (2005), [hep-ph/0503283]."
G176,GONZALEZ-GARCIA,A. Cervera et al.,2000,hep-ph/0002108,,Nucl. Phys.|B579|17,,"A. Cervera et al., Nucl. Phys. B579, 17 (2000), [Erratum: Nucl. Phys.B593,731(2001)], [hep-ph/0002108]."
G177,GONZALEZ-GARCIA,M. Freund,2001,hep-ph/0103300,,Phys. Rev.|D64|053003,,"M. Freund, Phys. Rev. D64, 053003 (2001), [hep-ph/0103300]."
G178,GONZALEZ-GARCIA,E. K. Akhmedov et al.,2004,hep-ph/0402175,,JHEP|04|078,,"E. K. Akhmedov et al., JHEP 04, 078 (2004), [hep-ph/0402175]."
G179,GONZALEZ-GARCIA,H. Minakata et al.,2006,hep-ph/0607284,,Phys. Rev.|D74|053008,,"H. Minakata et al., Phys. Rev. D74, 053008 (2006), [hep-ph/0607284]."
G180,GONZALEZ-GARCIA,O. L. G. Peres and A. Yu. Smirnov,2004,hep-ph/0309312,,Nucl. Phys.|B680|479,,"O. L. G. Peres and A. Yu. Smirnov, Nucl. Phys. B680, 479 (2004), [hep-ph/0309312]."
G181,GONZALEZ-GARCIA,S. Petcov,1998,hep-ph/9805262,,Phys.Lett.|B434|321,,"S. Petcov, Phys.Lett. B434, 321 (1998), [hep-ph/9805262]."
G182,GONZALEZ-GARCIA,E. K. Akhmedov et al.,1999,hep-ph/9808270,,Nucl.Phys.|B542|3,,"E. K. Akhmedov et al., Nucl.Phys. B542, 3 (1999), [hep-ph/9808270]."
G183,GONZALEZ-GARCIA,E. K. Akhmedov,1999,hep-ph/9805272,,Nucl.Phys.|B538|25,,"E. K. Akhmedov, Nucl.Phys. B538, 25 (1999), [hep-ph/9805272]."
G184,GONZALEZ-GARCIA,M. Chizhov,1998,hep-ph/9810501,,,,"M. Chizhov, M. Maris and S. Petcov (1998), SISSA-53-98-EP, [hep-ph/9810501]."
G185,GONZALEZ-GARCIA,M. Chizhov and S. Petcov,1999,hep-ph/9903399,,Phys.Rev.Lett.|83|1096,,"M. Chizhov and S. Petcov, Phys.Rev.Lett. 83, 1096 (1999), [hep-ph/9903399]."
G186,GONZALEZ-GARCIA,E. K. Akhmedov,2007,hep-ph/0612285,,JHEP|0705|077,,"E. K. Akhmedov, M. Maltoni and A. Y. Smirnov, JHEP 0705, 077 (2007), [hep-ph/0612285]."
G187,GONZALEZ-GARCIA,C. Kim and U. Lee,1998,hep-ph/9809491,,Phys.Lett.|B444|204,,"C. Kim and U. Lee, Phys.Lett. B444, 204 (1998), [hep-ph/9809491]."
G188,GONZALEZ-GARCIA,O. Peres and A. Y. Smirnov,1999,hep-ph/9902312,,Phys.Lett.|B456|204,,"O. Peres and A. Y. Smirnov, Phys.Lett. B456, 204 (1999), [hep-ph/9902312]."
G189,GONZALEZ-GARCIA,M. Gonzalez-Garcia,2004,hep-ph/0408170,,Phys.Rev.|D70|093005,,"M. Gonzalez-Garcia, M. Maltoni and A. Y. Smirnov, Phys.Rev. D70, 093005 (2004), [hep-ph/0408170]."
G190,GONZALEZ-GARCIA,E. K. Akhmedov,2008,0804.1466,,JHEP|0806|072,,"E. K. Akhmedov, M. Maltoni and A. Y. Smirnov, JHEP 0806, 072 (2008), [arXiv:0804.1466]."
G191,GONZALEZ-GARCIA,J. Bernabeu,2003,hep-ph/0305152,,Nucl.Phys.|B669|255,,"J. Bernabeu, S. Palomares Ruiz and S. Petcov, Nucl.Phys. B669, 255 (2003), [hep-ph/0305152]."
G192,GONZALEZ-GARCIA,S. Petcov and T. Schwetz,2006,hep-ph/0511277,,Nucl.Phys.|B740|1,,"S. Petcov and T. Schwetz, Nucl.Phys. B740, 1 (2006), [hep-ph/0511277]."
G193,GONZALEZ-GARCIA,I. Esteban et al.,2024,2410.05380,,JHEP|12|216,,"I. Esteban et al., JHEP 12, 216 (2024), [arXiv:2410.05380]."
G194,GONZALEZ-GARCIA,F. Capozzi et al.,2025,2503.07752,,,,"F. Capozzi et al., Phys. Rev. D 111, 9, 093006 (2025), [arXiv:2503.07752]."
G195,GONZALEZ-GARCIA,M. Tortola,2024,,,,,"M. Tortola, Neutrinos global fit (2024), Talk at XV Latin American Symposium on High Energy Physics, URL https://indico.nucleares.unam.mx/event/2125/contribution/40."
G196,GONZALEZ-GARCIA,P. F. de Salas et al.,2021,2006.11237,,JHEP|02|071,,"P. F. de Salas et al., JHEP 02, 071 (2021), [arXiv:2006.11237]."
G197,GONZALEZ-GARCIA,Atmospheric neutrino oscillation analysis with neutron taggi,2024,,,,,"Atmospheric neutrino oscillation analysis with neutron tagging and an expanded fiducial volume in Super-Kamiokande I-V (2024), ZENODO."
G198,GONZALEZ-GARCIA,Data release for neutrino oscillation parameters using convo,2024,,,,,"Data release for neutrino oscillation parameters using convolutional neural networks with 9.3 years of data in IceCube DeepCore (2024), ."
G199,GONZALEZ-GARCIA,T. Wester et al. (Super-Kamiokande) (2023),2023,2311.05105,,,,"T. Wester et al. (Super-Kamiokande) (2023), [arXiv:2311.05105]."
G200,GONZALEZ-GARCIA,R. Abbasi et al. (IceCube) (2024),2024,2405.02163,,,,"R. Abbasi et al. (IceCube) (2024), [arXiv:2405.02163]."
G201,GONZALEZ-GARCIA,J. Wolcott (NOvA) FERMILAB-SLIDES-24-0130-PPD (2024).,2024,,,,,J. Wolcott (NOvA) FERMILAB-SLIDES-24-0130-PPD (2024).
G202,GONZALEZ-GARCIA,C. Jarlskog,1985,,,Phys. Rev. Lett.|55|1039,,"C. Jarlskog, Phys. Rev. Lett. 55, 1039 (1985)."
G203,GONZALEZ-GARCIA,M. C. Gonzalez-Garcia,2014,1409.5439,,JHEP|11|052,,"M. C. Gonzalez-Garcia, M. Maltoni and T. Schwetz, JHEP 11, 052 (2014), [arXiv:1409.5439]."
G204,GONZALEZ-GARCIA,Y. Farzan and A. Yu. Smirnov,2002,hep-ph/0201105,,Phys. Rev.|D65|113001,,"Y. Farzan and A. Yu. Smirnov, Phys. Rev. D65, 113001 (2002), [hep-ph/0201105]."
G205,GONZALEZ-GARCIA,A. Dueck,2010,1006.0227,,Phys. Rev.|D82|013005,,"A. Dueck, S. Petcov and W. Rodejohann, Phys. Rev. D82, 013005 (2010), [arXiv:1006.0227]."
G206,GONZALEZ-GARCIA,A. Aguilar-Arevalo et al. (MiniBooNE) (2012),2012,1207.4809,,,,"A. Aguilar-Arevalo et al. (MiniBooNE) (2012), [arXiv:1207.4809]."
G207,GONZALEZ-GARCIA,R. Acciarri et al. (MicroBooNE),2017,1612.05824,,,,"R. Acciarri et al. (MicroBooNE), JINST 12, 02, P02017 (2017), [arXiv:1612.05824]."
G208,GONZALEZ-GARCIA,P. Abratenko et al. ((MicroBooNE Collaboration)*,2025,2412.14407,,,,"P. Abratenko et al. ((MicroBooNE Collaboration)*, MicroBooNE), Phys. Rev. Lett. 135, 8, 081802 (2025), [arXiv:2412.14407]."
G209,GONZALEZ-GARCIA,G. Mention et al.,2011,1101.2755,,Phys. Rev.|D83|073006,,"G. Mention et al., Phys. Rev. D83, 073006 (2011), [arXiv:1101.2755]."
G210,GONZALEZ-GARCIA,C. Giunti et al.,2022,2110.06820,,Phys. Lett. B|829|137054,,"C. Giunti et al., Phys. Lett. B 829, 137054 (2022), [arXiv:2110.06820]."
G211,GONZALEZ-GARCIA,V. V. Barinov et al.,2022,2109.11482,,,,"V. V. Barinov et al., Phys. Rev. Lett. 128, 23, 232501 (2022), [arXiv:2109.11482]."
G212,GONZALEZ-GARCIA,M. A. Acero,2008,0711.4222,,Phys. Rev.|D78|073009,,"M. A. Acero, C. Giunti and M. Laveder, Phys. Rev. D78, 073009 (2008), [arXiv:0711.4222]."
G213,GONZALEZ-GARCIA,C. Giunti and M. Laveder,2011,1006.3244,,Phys. Rev.|C83|065504,,"C. Giunti and M. Laveder, Phys. Rev. C83, 065504 (2011), [arXiv:1006.3244]."
G214,GONZALEZ-GARCIA,C. Giunti et al.,2022,2209.00916,,JHEP|10|164,,"C. Giunti et al., JHEP 10, 164 (2022), [arXiv:2209.00916]."
G215,GONZALEZ-GARCIA,M. C. Gonzalez-Garcia,2025,2411.16840,,Phys. Lett. B|862|139297,,"M. C. Gonzalez-Garcia, M. Maltoni and J. P. Pinheiro, Phys. Lett. B 862, 139297 (2025), [arXiv:2411.16840]."
G216,GONZALEZ-GARCIA,H. Acharya et al. (KATRIN) (2025),2025,2503.18667,,,,"H. Acharya et al. (KATRIN) (2025), [arXiv:2503.18667]."
G217,GONZALEZ-GARCIA,M. Cadeddu et al. (2025),2025,2507.13103,,,,"M. Cadeddu et al. (2025), [arXiv:2507.13103]."
G218,GONZALEZ-GARCIA,J. J. Gomez-Cadenas and M. C. Gonzalez-Garcia,1996,hep-ph/9504246,,Z. Phys.|C71|443,,"J. J. Gomez-Cadenas and M. C. Gonzalez-Garcia, Z. Phys. C71, 443 (1996), [hep-ph/9504246]."
G219,GONZALEZ-GARCIA,C. Giunti and M. Laveder,2011,1109.4033,,Phys. Rev.|D84|093006,,"C. Giunti and M. Laveder, Phys. Rev. D84, 093006 (2011), [arXiv:1109.4033]."
G220,GONZALEZ-GARCIA,J. M. Conrad et al.,2013,1207.4765,,Adv. High Energy Phys.|2013|163897,,"J. M. Conrad et al., Adv. High Energy Phys. 2013, 163897 (2013), [arXiv:1207.4765]."
G221,GONZALEZ-GARCIA,J. Kopp et al.,2013,1303.3011,,JHEP|05|050,,"J. Kopp et al., JHEP 05, 050 (2013), [arXiv:1303.3011]."
G222,GONZALEZ-GARCIA,G. H. Collin et al.,2016,1607.00011,,,,"G. H. Collin et al., Phys. Rev. Lett. 117, 22, 221801 (2016), [arXiv:1607.00011]."
G223,GONZALEZ-GARCIA,S. Gariazzo et al.,2017,1703.00860,,JHEP|06|135,,"S. Gariazzo et al., JHEP 06, 135 (2017), [arXiv:1703.00860]."
G224,GONZALEZ-GARCIA,M. Dentler et al.,2018,1803.10661,,JHEP|08|010,,"M. Dentler et al., JHEP 08, 010 (2018), [arXiv:1803.10661]."
G225,GONZALEZ-GARCIA,M. A. Acero et al.,2024,2203.07323,,,,"M. A. Acero et al., J. Phys. G 51, 12, 120501 (2024), [arXiv:2203.07323]."
G226,GONZALEZ-GARCIA,M. Aker et al. (KATRIN),2025,2406.13516,,,,"M. Aker et al. (KATRIN), Science 388, 6743, adq9592 (2025), [arXiv:2406.13516]."
G227,GONZALEZ-GARCIA,J. Bonn et al.,2001,,,Nucl. Phys. B Proc. Suppl.|91|273,,"J. Bonn et al., Nucl. Phys. B Proc. Suppl. 91, 273 (2001)."
G228,GONZALEZ-GARCIA,V. M. Lobashev et al.,2001,,,Nucl. Phys. B Proc. Suppl.|91|280,,"V. M. Lobashev et al., Nucl. Phys. B Proc. Suppl. 91, 280 (2001)."
G229,GONZALEZ-GARCIA,A. Ashtari Esfahani et al. (Project 8),2023,2212.05048,,,,"A. Ashtari Esfahani et al. (Project 8), Phys. Rev. Lett. 131, 10, 102502 (2023), [arXiv:2212.05048]."
G230,GONZALEZ-GARCIA,A. De Rujula and M. Lusignoli,1982,,,,,"A. De Rujula and M. Lusignoli, Phys. Lett. 118B, 429 (1982)."
G231,GONZALEZ-GARCIA,L. Gastaldo et al.,2014,1309.5214,,,,"L. Gastaldo et al., J. Low Temp. Phys. 176, 5-6, 876 (2014), [arXiv:1309.5214]."
G232,GONZALEZ-GARCIA,B. Alpert et al.,2015,1412.5060,,,,"B. Alpert et al., Eur. Phys. J. C75, 3, 112 (2015), [arXiv:1412.5060]."
G233,GONZALEZ-GARCIA,R. E. Shrock,1980,,,,,"R. E. Shrock, Phys. Lett. 96B, 159 (1980)."
G234,GONZALEZ-GARCIA,F. Vissani,2001,hep-ph/0012018,,Nucl. Phys. B Proc. Suppl.|100|273,,"F. Vissani, Nucl. Phys. B Proc. Suppl. 100, 273 (2001), [hep-ph/0012018]."
G235,GONZALEZ-GARCIA,Y. Farzan,2001,hep-ph/0105105,,Nucl. Phys.|B612|59,,"Y. Farzan, O. L. G. Peres and A. Yu. Smirnov, Nucl. Phys. B612, 59 (2001), [hep-ph/0105105]."
G236,GONZALEZ-GARCIA,J. Schechter and J. W. F. Valle,1982,,,Phys. Rev. D|25|2951,,"J. Schechter and J. W. F. Valle, Phys. Rev. D 25, 2951 (1982)."
G237,GONZALEZ-GARCIA,J. Engel and J. Menendez,2017,1610.06548,,,,"J. Engel and J. Menendez, Rept. Prog. Phys. 80, 4, 046301 (2017), [arXiv:1610.06548]."
G238,GONZALEZ-GARCIA,S. Abe et al. (KamLAND-Zen) (2024),2024,2406.11438,,,,"S. Abe et al. (KamLAND-Zen) (2024), [arXiv:2406.11438]."
G239,GONZALEZ-GARCIA,M. Agostini et al. (GERDA),2020,2009.06079,,,,"M. Agostini et al. (GERDA), Phys. Rev. Lett. 125, 25, 252502 (2020), [arXiv:2009.06079]."
G240,GONZALEZ-GARCIA,I. J. Arnquist et al. (Majorana),2023,2207.07638,,,,"I. J. Arnquist et al. (Majorana), Phys. Rev. Lett. 130, 6, 062501 (2023), [arXiv:2207.07638]."
G241,GONZALEZ-GARCIA,N. Abgrall et al. (LEGEND) (2021),2021,2107.11462,,,,"N. Abgrall et al. (LEGEND) (2021), [arXiv:2107.11462]."
G242,GONZALEZ-GARCIA,W. H. Dai et al. (CDEX),2022,2205.10718,,,,"W. H. Dai et al. (CDEX), Phys. Rev. D 106, 3, 032012 (2022), [arXiv:2205.10718]."
G243,GONZALEZ-GARCIA,V. Albanese et al. (SNO+),2021,2104.11687,,,,"V. Albanese et al. (SNO+), JINST 16, 08, P08059 (2021), [arXiv:2104.11687]."
G244,GONZALEZ-GARCIA,G. Anton et al. (EXO-200),2019,1906.02723,,,,"G. Anton et al. (EXO-200), Phys. Rev. Lett. 123, 16, 161802 (2019), [arXiv:1906.02723]."
G245,GONZALEZ-GARCIA,G. Adhikari et al. (nEXO),2022,2106.16243,,,,"G. Adhikari et al. (nEXO), J. Phys. G 49, 1, 015104 (2022), [arXiv:2106.16243]."
G246,GONZALEZ-GARCIA,J. Renner et al. (NEXT),2018,1808.01804,,,,"J. Renner et al. (NEXT), JINST 13, 10, P10020 (2018), [arXiv:1808.01804]."
G247,GONZALEZ-GARCIA,D. Q. Adams et al. (CUORE),2022,2104.06906,,,,"D. Q. Adams et al. (CUORE), Nature 604, 7904, 53 (2022), [arXiv:2104.06906]."
G248,GONZALEZ-GARCIA,O. Azzolini et al. (CUPID),2022,2206.05130,,,,"O. Azzolini et al. (CUPID), Phys. Rev. Lett. 129, 11, 111801 (2022), [arXiv:2206.05130]."
G249,GONZALEZ-GARCIA,C. Augier et al. (CUPID),2022,2202.08716,,,,"C. Augier et al. (CUPID), Eur. Phys. J. C 82, 11, 1033 (2022), [arXiv:2202.08716]."
G250,GONZALEZ-GARCIA,V. Alenkov et al. (AMoRE),2019,1903.09483,,,,"V. Alenkov et al. (AMoRE), Eur. Phys. J. C79, 9, 791 (2019), [arXiv:1903.09483]."
G251,GONZALEZ-GARCIA,A. Agrawal et al. (AMoRE),2025,2407.05618,,,,"A. Agrawal et al. (AMoRE), Phys. Rev. Lett. 134, 8, 082501 (2025), [arXiv:2407.05618]."
G252,GONZALEZ-GARCIA,R. Arnold et al. (NEMO-3),2015,1506.05825,,,,"R. Arnold et al. (NEMO-3), Phys. Rev. D92, 7, 072011 (2015), [arXiv:1506.05825]."
