ref_id,fonte,autor,ano,arxiv,doi,titulo,raw
A565,AGOSTINI,Nygren,2009,,,High-pressure xenon gas electroluminescent TPC for 0nu beta beta-decay search,"Nygren, D (2009), “High-pressure xenon gas electroluminescent TPC for 0nu beta beta-decay search,” Nucl. Instrum. Meth. A 603, 337-348."
A566,AGOSTINI,Nygren,1974,,,The Time Projection Chamber: A New 4 pi Detector for Charged Particles,"Nygren, D R (1974), “The Time Projection Chamber: A New 4 pi Detector for Charged Particles,” eConf C740805, 58."
A567,AGOSTINI,Nygren,2018,1801.04513,,Neutrinoless Double Beta Decay with 82 SeF6 and Direct Ion Imaging,"Nygren, D R, B. J. P. Jones, N. López-March, Y. Mei, F. Psihas, and J. Renner (2018), “Neutrinoless Double Beta Decay with 82 SeF6 and Direct Ion Imaging,” JINST 13 (03), P03015, arXiv:1801.04513 [physics.ins-det]."
A568,AGOSTINI,Nzobadila Ondze,2021,,,"Investigation of paircorrelated 0+ states in 134 Ba via the 136 Ba(p, t) reaction","Nzobadila Ondze, J C, et al. (2021), “Investigation of paircorrelated 0+ states in 134 Ba via the 136 Ba(p, t) reaction,” Phys. Rev. C 103, 034329."
A569,AGOSTINI,Obara,2020,1909.09343,,AXEL: High-pressure Xe gas TPC for BG-free 0ν2β decay search,"Obara, S, et al. (2020), “AXEL: High-pressure Xe gas TPC for BG-free 0ν2β decay search,” Nucl. Instrum. Meth. A 958, 162803, arXiv:1909.09343 [physics.ins-det]."
A570,AGOSTINI,Ohlsson,2021,2107.08771,,Flavor symmetries in the Yukawa sector of non-supersymmetric SO(10): numerical fits using renormalization group running,"Ohlsson, T, and M. Pernow (2021), “Flavor symmetries in the Yukawa sector of non-supersymmetric SO(10): numerical fits using renormalization group running,” JHEP 09, 111, arXiv:2107.08771 [hep-ph]."
A571,AGOSTINI,Otsuka,1978,,,Nuclear shell model and interacting bosons,"Otsuka, T, A. Arima, and F. Iachello (1978), “Nuclear shell model and interacting bosons,” Nucl. Phys. A 309, 1-33."
A572,AGOSTINI,Otsuka,2016,,,The role of shell evolution in shape coexistence,"Otsuka, T, and Y. Tsunoda (2016), “The role of shell evolution in shape coexistence,” J. Phys. G 43, 024009."
A573,AGOSTINI,Otsuka,2020,,,Evolution of shell structure in exotic nuclei,"Otsuka, Takaharu, Alexandra Gade, Olivier Sorlin, Toshio Suzuki, and Yutaka Utsuno (2020), “Evolution of shell structure in exotic nuclei,” Rev. Mod. Phys. 92, 015002."
A574,AGOSTINI,Palaio,1983,,,Neutron-transmutation-doped germanium bolometers,"Palaio, N P, M. Rodder, E. E. Haller, and E. Kreysa (1983), “Neutron-transmutation-doped germanium bolometers,” Int. J. Infrared Milli. Waves 4 (6), 933-943."
A575,AGOSTINI,Palanque-Delabrouille,2020,1911.09073,,"Hints, neutrino bounds and WDM constraints from SDSS DR14 Lyman-α and Planck full-survey data","Palanque-Delabrouille, N, C. Yèche, N. Schöneberg, J. Lesgourgues, M. Walther, S. Chabanier, and E. Armengaud (2020), “Hints, neutrino bounds and WDM constraints from SDSS DR14 Lyman-α and Planck full-survey data,” JCAP 04, 038, arXiv:1911.09073 [astro-ph.CO]."
A576,AGOSTINI,Park,2003,,,Parameter free effective field theory calculation for the solar proton fusion and hep processes,"Park, T S, L. E. Marcucci, R. Schiavilla, M. Viviani, A. Kievsky, S. Rosati, K. Kubodera, D. P. Min, and M. Rho (2003), “Parameter free effective field theory calculation for the solar proton fusion and hep processes,” Phys. Rev. C 67, 055206."
A577,AGOSTINI,Pas,1999,,,Towards a superformula for neutrinoless double beta decay,"Pas, H, M. Hirsch, H. V. Klapdor-Kleingrothaus, and S. G. Kovalenko (1999), “Towards a superformula for neutrinoless double beta decay,” Phys. Lett. B 453, 194-198."
A578,AGOSTINI,Pas,2001,,,A Superformula for neutrinoless double beta decay. 2. The Short range part,"Pas, H, M. Hirsch, H. V. Klapdor-Kleingrothaus, and S. G. Kovalenko (2001), “A Superformula for neutrinoless double beta decay. 2. The Short range part,” Phys. Lett. B 498, 35-39."
A579,AGOSTINI,Päs,2015,1507.00170,,Neutrinoless Double Beta Decay,"Päs, H, and W. Rodejohann (2015), “Neutrinoless Double Beta Decay,” New J. Phys. 17 (11), 115010, arXiv:1507.00170 [hep-ph]."
A580,AGOSTINI,Pastore,2018,,,Quantum Monte Carlo calculations of weak transitions in A = 6-10 nuclei,"Pastore, S, A. Baroni, J. Carlson, S. Gandolfi, S. C. Pieper, R. Schiavilla, and R. B. Wiringa (2018a), “Quantum Monte Carlo calculations of weak transitions in A = 6-10 nuclei,” Phys. Rev. C 97 (2), 022501."
A581,AGOSTINI,Pastore,2018,,,Neutrinoless double-β decay matrix elements in light nuclei,"Pastore, S, J. Carlson, V. Cirigliano, W. Dekens, E. Mereghetti, and R. B. Wiringa (2018b), “Neutrinoless double-β decay matrix elements in light nuclei,” Phys. Rev. C 97, 014606."
A582,AGOSTINI,Pati,1974,,,Lepton number as the fourth color,"Pati, J C, and A. Salam (1974), “Lepton number as the fourth color,” Phys.Rev.D 10, 275-289, [Erratum: Phys.Rev.D 11, 703-703 (1975)]."
A583,AGOSTINI,Patterson,2015,1506.07917,,Prospects for Measurement of the Neutrino Mass Hierarchy,"Patterson, R B (2015), “Prospects for Measurement of the Neutrino Mass Hierarchy,” Ann. Rev. Nucl. Part. Sci. 65, 177-192, arXiv:1506.07917 [hep-ex]."
A584,AGOSTINI,Pauli,1930,,,Dear radioactive ladies and gentlemen,"Pauli, W (1930), “Dear radioactive ladies and gentlemen,” published in Phys. Today 31N9, 27 (1978), letter to L. Meitner."
